time	count
0.00	0.00
5038750.00	1.00
5039163.00	0.00
5039431.00	1.00
5040255.00	0.00
5040367.00	1.00
5041443.00	0.00
5066100.00	1.00
5066512.00	0.00
5066598.00	1.00
5066681.00	0.00
5066759.00	1.00
5067080.00	0.00
5067231.00	1.00
5068429.00	0.00
5068515.00	1.00
5068641.00	0.00
5068716.00	1.00
5068812.00	0.00
5068885.00	1.00
5068981.00	0.00
5069057.00	1.00
5069155.00	0.00
5069231.00	1.00
5069533.00	0.00
5069613.00	1.00
5498166.00	0.00
5498257.00	1.00
5922699.00	0.00
5922819.00	1.00
6349062.00	0.00
6349161.00	1.00
6773411.00	0.00
6773513.00	1.00
6773631.00	0.00
6773708.00	1.00
6773842.00	0.00
6773916.00	1.00
6774627.00	0.00
6774703.00	1.00
6774823.00	0.00
6774904.00	1.00
6774922.00	0.00
6774990.00	1.00
6775004.00	0.00
6775064.00	1.00
6775077.00	0.00
6775133.00	1.00
6775146.00	0.00
6775202.00	1.00
6775215.00	0.00
6775271.00	1.00
6775284.00	0.00
6775340.00	1.00
6775353.00	0.00
6775408.00	1.00
6775422.00	0.00
6775477.00	1.00
6775490.00	0.00
6775546.00	1.00
6775559.00	0.00
6775614.00	1.00
6775628.00	0.00
6775683.00	1.00
6775696.00	0.00
6775752.00	1.00
6775765.00	0.00
6775822.00	1.00
6775836.00	0.00
6775904.00	1.00
6775921.00	0.00
6775985.00	1.00
6776360.00	0.00
6776444.00	1.00
6776516.00	0.00
6776583.00	1.00
6776703.00	0.00
6776776.00	1.00
6777260.00	0.00
6777339.00	1.00
6777359.00	0.00
6777422.00	1.00
6777436.00	0.00
6777494.00	1.00
6777507.00	0.00
6777562.00	1.00
6777576.00	0.00
6777634.00	1.00
6777647.00	0.00
6777704.00	1.00
6777717.00	0.00
6777773.00	1.00
6777786.00	0.00
6777849.00	1.00
6777862.00	0.00
6777918.00	1.00
6777931.00	0.00
6777995.00	1.00
6778009.00	0.00
6778067.00	1.00
6778080.00	0.00
6778136.00	1.00
6778148.00	0.00
6778204.00	1.00
6778217.00	0.00
6778272.00	1.00
6778285.00	0.00
6778340.00	1.00
6778353.00	0.00
6778411.00	1.00
6778428.00	0.00
6778484.00	1.00
6778760.00	0.00
6778842.00	1.00
6778909.00	0.00
6778982.00	1.00
6779098.00	0.00
6779176.00	1.00
6779644.00	0.00
6779724.00	1.00
6779742.00	0.00
6779804.00	1.00
6779818.00	0.00
6779875.00	1.00
6779888.00	0.00
6779950.00	1.00
6779965.00	0.00
6780022.00	1.00
6780035.00	0.00
6780092.00	1.00
6780104.00	0.00
6780160.00	1.00
6780172.00	0.00
6780228.00	1.00
6780241.00	0.00
6780296.00	1.00
6780310.00	0.00
6780365.00	1.00
6780378.00	0.00
6780433.00	1.00
6780446.00	0.00
6780503.00	1.00
6780516.00	0.00
6780571.00	1.00
6780584.00	0.00
6780639.00	1.00
6780652.00	0.00
6780707.00	1.00
6780720.00	0.00
6780777.00	1.00
6780795.00	0.00
6780850.00	1.00
6781136.00	0.00
6781219.00	1.00
6781688.00	0.00
6781768.00	1.00
6781787.00	0.00
6781848.00	1.00
6781862.00	0.00
6781920.00	1.00
6781933.00	0.00
6781998.00	1.00
6782012.00	0.00
6782068.00	1.00
6782082.00	0.00
6782138.00	1.00
6782150.00	0.00
6782206.00	1.00
6782219.00	0.00
6782274.00	1.00
6782287.00	0.00
6782343.00	1.00
6782355.00	0.00
6782411.00	1.00
6782424.00	0.00
6782479.00	1.00
6782493.00	0.00
6782549.00	1.00
6782562.00	0.00
6782617.00	1.00
6782630.00	0.00
6782686.00	1.00
6782698.00	0.00
6782754.00	1.00
6782767.00	0.00
6782824.00	1.00
6782843.00	0.00
6782901.00	1.00
6783373.00	0.00
6783453.00	1.00
6783471.00	0.00
6783532.00	1.00
6783545.00	0.00
6783602.00	1.00
6783615.00	0.00
6783671.00	1.00
6783684.00	0.00
6783742.00	1.00
6783755.00	0.00
6783811.00	1.00
6783825.00	0.00
6783881.00	1.00
6783894.00	0.00
6783955.00	1.00
6783969.00	0.00
