time	count
0.00	0.00
5040042.00	0.25
5040391.00	0.00
5041806.00	0.25
5041980.00	0.00
5042656.00	0.25
5042661.00	0.00
5043663.00	0.25
5043672.00	0.00
5043694.00	0.25
5064719.00	0.50
5064813.00	0.25
5064816.00	0.50
5064854.00	0.25
5065177.00	0.50
5065189.00	0.25
5065457.00	0.00
5066398.00	0.25
5066459.00	0.00
5066573.00	0.25
5066587.00	0.00
5066714.00	0.25
5066719.00	0.00
5066856.00	0.25
5066868.00	0.00
5067006.00	0.25
5067010.00	0.00
5067406.00	0.25
5067439.00	0.00
5103622.00	0.25
5103804.00	0.00
5103845.00	0.25
5103878.00	0.00
5103922.00	0.25
5103982.00	0.50
5103997.00	0.25
5104009.00	0.00
5104038.00	0.25
5104043.00	0.50
5104050.00	0.25
5104079.00	0.00
5104136.00	0.25
5104152.00	0.00
5104197.00	0.25
5104201.00	0.00
5104334.00	0.25
5104435.00	0.00
5104465.00	0.25
5104545.00	0.00
5104568.00	0.25
5104589.00	0.00
5104618.00	0.25
5104634.00	0.00
5104635.00	0.25
5104645.00	0.00
5104707.00	0.25
5104723.00	0.00
5104740.00	0.25
5104772.00	0.50
5104774.00	0.25
5104775.00	0.00
5104843.00	0.25
5104867.00	0.00
5104932.00	0.25
5104941.00	0.00
5104958.00	0.25
5104977.00	0.00
5105030.00	0.25
5105035.00	0.00
5105099.00	0.25
5105118.00	0.00
5105171.00	0.25
5105174.00	0.00
5105235.00	0.25
5105254.00	0.00
5105303.00	0.25
5105306.00	0.00
5105370.00	0.25
5105388.00	0.00
5105441.00	0.25
5105444.00	0.00
5105504.00	0.25
5105523.00	0.00
5105574.00	0.25
5105577.00	0.00
5105639.00	0.25
5105657.00	0.00
5105709.00	0.25
5105712.00	0.00
5105767.00	0.25
5105785.00	0.00
5105841.00	0.25
5105844.00	0.00
5105905.00	0.25
5105924.00	0.00
5105975.00	0.25
5105979.00	0.00
5106044.00	0.25
5106062.00	0.00
5106113.00	0.25
5106116.00	0.00
5106175.00	0.25
5106193.00	0.00
5106245.00	0.25
5106248.00	0.00
5106310.00	0.25
5106328.00	0.00
5106376.00	0.25
5106380.00	0.00
5106443.00	0.25
5106463.00	0.00
5106515.00	0.25
5106518.00	0.00
5106570.00	0.25
5106588.00	0.00
5106635.00	0.25
5106638.00	0.00
5106701.00	0.25
5106720.00	0.00
5106768.00	0.25
5106771.00	0.00
5106837.00	0.25
5106855.00	0.00
5106908.00	0.25
5106911.00	0.00
5106973.00	0.25
5106992.00	0.00
5107043.00	0.25
5107046.00	0.00
5107112.00	0.25
5107130.00	0.00
5107181.00	0.25
5107203.00	0.00
5107246.00	0.25
5107264.00	0.00
5107312.00	0.25
5107321.00	0.00
5107382.00	0.25
5107401.00	0.00
5107450.00	0.25
5107453.00	0.00
5107511.00	0.25
5107529.00	0.00
5107580.00	0.25
5107583.00	0.00
5107642.00	0.25
5107661.00	0.00
5107708.00	0.25
5107711.00	0.00
5107775.00	0.25
5107793.00	0.00
5107849.00	0.25
5107852.00	0.00
5107914.00	0.25
5107933.00	0.00
5107984.00	0.25
5107988.00	0.00
5108048.00	0.25
5108066.00	0.00
5108113.00	0.25
5108116.00	0.00
5108183.00	0.25
5108202.00	0.00
5108253.00	0.25
5108256.00	0.00
5108309.00	0.25
5108327.00	0.00
5108386.00	0.25
5108389.00	0.00
5108442.00	0.25
5108461.00	0.00
5108513.00	0.25
5108516.00	0.00
5108575.00	0.25
5108593.00	0.00
5108643.00	0.25
5108646.00	0.00
5108735.00	0.25
5108754.00	0.00
5108802.00	0.25
5108805.00	0.00
5108879.00	0.25
5108898.00	0.00
5108951.00	0.25
5108953.00	0.00
5109015.00	0.25
5109034.00	0.00
5109084.00	0.25
5109087.00	0.00
5109151.00	0.25
5109170.00	0.00
5109218.00	0.25
5109224.00	0.00
5109280.00	0.25
5109298.00	0.00
5109351.00	0.25
5109354.00	0.00
5109412.00	0.25
5109430.00	0.00
5109478.00	0.25
5109484.00	0.00
5109546.00	0.25
5109564.00	0.00
5109615.00	0.25
5109618.00	0.00
5109679.00	0.25
5109697.00	0.00
5109746.00	0.25
5109749.00	0.00
5109812.00	0.25
5109834.00	0.00
5109883.00	0.25
5109886.00	0.00
5109951.00	0.25
5109970.00	0.00
5110022.00	0.25
5110025.00	0.00
5110079.00	0.25
5110097.00	0.00
5110147.00	0.25
5110150.00	0.00
5110211.00	0.25
5110229.00	0.00
5110276.00	0.25
5110279.00	0.00
5110346.00	0.25
5110365.00	0.00
5110416.00	0.25
5110418.00	0.00
5110478.00	0.25
5110496.00	0.00
5110544.00	0.25
5110551.00	0.00
5110611.00	0.25
5110629.00	0.00
5110678.00	0.25
5110680.00	0.00
5110741.00	0.25
5110758.00	0.00
5110809.00	0.25
5110812.00	0.00
5110872.00	0.25
5110889.00	0.00
5110941.00	0.25
5110944.00	0.00
5111006.00	0.25
5111023.00	0.00
5111075.00	0.25
5111077.00	0.00
5111139.00	0.25
5111157.00	0.00
5111205.00	0.25
5111209.00	0.00
5111273.00	0.25
5111291.00	0.00
5111342.00	0.25
5111345.00	0.00
5111404.00	0.25
5111422.00	0.00
5111473.00	0.25
5111476.00	0.00
5111535.00	0.25
5111553.00	0.00
5111601.00	0.25
5111604.00	0.00
5111669.00	0.25
5111687.00	0.00
5111738.00	0.25
5111741.00	0.00
5111794.00	0.25
5111812.00	0.00
5111864.00	0.25
5111867.00	0.00
5111936.00	0.25
5111955.00	0.00
5112006.00	0.25
5112012.00	0.00
5112077.00	0.25
5112095.00	0.00
5112146.00	0.25
5112149.00	0.00
5112211.00	0.25
5112230.00	0.00
5112280.00	0.25
5112283.00	0.00
5112346.00	0.25
5112364.00	0.00
5112414.00	0.25
5112417.00	0.00
5112477.00	0.25
5112495.00	0.00
5112542.00	0.25
5112546.00	0.00
5112603.00	0.25
5112622.00	0.00
5112673.00	0.25
5112676.00	0.00
5112734.00	0.25
5112753.00	0.00
5112800.00	0.25
5112806.00	0.00
5112872.00	0.25
5112890.00	0.00
5112939.00	0.25
5112942.00	0.00
5113005.00	0.25
5113024.00	0.00
5113082.00	0.25
5113085.00	0.00
5113139.00	0.25
5113158.00	0.00
5113210.00	0.25
5113213.00	0.00
5113271.00	0.25
5113290.00	0.00
5113338.00	0.25
5113341.00	0.00
5113397.00	0.25
5113416.00	0.00
5113467.00	0.25
5113469.00	0.00
5113528.00	0.25
5113546.00	0.00
5113598.00	0.25
5113601.00	0.00
5113659.00	0.25
5113677.00	0.00
5113728.00	0.25
5113732.00	0.00
5113791.00	0.25
5113809.00	0.00
5113862.00	0.25
5113865.00	0.00
5113931.00	0.25
5113950.00	0.00
5114019.00	0.25
5114021.00	0.00
5114077.00	0.25
5114095.00	0.00
5114147.00	0.25
5114150.00	0.00
5114210.00	0.25
5114228.00	0.00
5114279.00	0.25
5114282.00	0.00
5114336.00	0.25
5114354.00	0.00
5114407.00	0.25
5114409.00	0.00
5114468.00	0.25
5114486.00	0.00
5114538.00	0.25
5114541.00	0.00
5114600.00	0.25
5114618.00	0.00
5114670.00	0.25
5114673.00	0.00
5114732.00	0.25
5114751.00	0.00
5114803.00	0.25
5114806.00	0.00
5114869.00	0.25
5114887.00	0.00
5114940.00	0.25
5114943.00	0.00
5115005.00	0.25
5115023.00	0.00
5115085.00	0.25
5115089.00	0.00
5115141.00	0.25
5115159.00	0.00
5115210.00	0.25
5115213.00	0.00
5115267.00	0.25
5115285.00	0.00
5115333.00	0.25
5115335.00	0.00
5115399.00	0.25
5115417.00	0.00
5115470.00	0.25
5115472.00	0.00
5115531.00	0.25
5115549.00	0.00
5115599.00	0.25
5115602.00	0.00
5115662.00	0.25
5115680.00	0.00
5115728.00	0.25
5115735.00	0.00
5115793.00	0.25
5115812.00	0.00
5115868.00	0.25
5115870.00	0.00
5115926.00	0.25
5115944.00	0.00
5115995.00	0.25
5115998.00	0.00
5116059.00	0.25
5116077.00	0.00
5116125.00	0.25
5116128.00	0.00
5116192.00	0.25
5116210.00	0.00
5116258.00	0.25
5116261.00	0.00
5116325.00	0.25
5116343.00	0.00
5116394.00	0.25
5116398.00	0.00
5116457.00	0.25
5116475.00	0.00
5116526.00	0.25
5116529.00	0.00
5116590.00	0.25
5116608.00	0.00
5116655.00	0.25
5116658.00	0.00
5116725.00	0.25
5116743.00	0.00
5116794.00	0.25
5116797.00	0.00
5116853.00	0.25
5116871.00	0.00
5116932.00	0.25
5116943.00	0.00
5116994.00	0.25
5117014.00	0.00
5117081.00	0.25
5117089.00	0.00
5117122.00	0.25
5117142.00	0.00
5117196.00	0.25
5117199.00	0.00
5117256.00	0.25
5117274.00	0.00
5117326.00	0.25
5117329.00	0.00
5117386.00	0.25
5117405.00	0.00
5117456.00	0.25
5117459.00	0.00
5117517.00	0.25
5117536.00	0.00
5117587.00	0.25
5117590.00	0.00
5117644.00	0.25
5117662.00	0.00
5117710.00	0.25
5117713.00	0.00
5117774.00	0.25
5117793.00	0.00
5117850.00	0.25
5117852.00	0.00
5117913.00	0.25
5117932.00	0.00
5117984.00	0.25
5117987.00	0.00
5118047.00	0.25
5118065.00	0.00
5118116.00	0.25
5118119.00	0.00
5118179.00	0.25
5118197.00	0.00
5118248.00	0.25
5118251.00	0.00
5118312.00	0.25
5118330.00	0.00
5118378.00	0.25
5118384.00	0.00
5118446.00	0.25
5118465.00	0.00
5118514.00	0.25
5118518.00	0.00
5118574.00	0.25
5118592.00	0.00
5118641.00	0.25
5118644.00	0.00
5118704.00	0.25
5118722.00	0.00
5118774.00	0.25
5118777.00	0.00
5118839.00	0.25
5118857.00	0.00
5118906.00	0.25
5118909.00	0.00
5118977.00	0.25
5118995.00	0.00
5119048.00	0.25
5119050.00	0.00
5119108.00	0.25
5119126.00	0.00
5119174.00	0.25
5119177.00	0.00
5119241.00	0.25
5119260.00	0.00
5119308.00	0.25
5119314.00	0.00
5119368.00	0.25
5119387.00	0.00
5119439.00	0.25
5119442.00	0.00
5119498.00	0.25
5119516.00	0.00
5119566.00	0.25
5119569.00	0.00
5119630.00	0.25
5119648.00	0.00
5119696.00	0.25
5119699.00	0.00
5119762.00	0.25
5119780.00	0.00
5119837.00	0.25
5119840.00	0.00
5119905.00	0.25
5119923.00	0.00
5119974.00	0.25
5119977.00	0.00
5120039.00	0.25
5120058.00	0.00
5120108.00	0.25
5120113.00	0.00
5120173.00	0.25
5120191.00	0.00
5120238.00	0.25
5120242.00	0.00
5120301.00	0.25
5120320.00	0.00
5120371.00	0.25
5120374.00	0.00
5120431.00	0.25
5120449.00	0.00
5120497.00	0.25
5120500.00	0.00
5120563.00	0.25
5120581.00	0.00
5120633.00	0.25
5120636.00	0.00
5120691.00	0.25
5120708.00	0.00
5120764.00	0.25
5120774.00	0.00
5120838.00	0.25
5120858.00	0.00
5120916.00	0.25
5120923.00	0.00
5120975.00	0.25
5120994.00	0.00
5121047.00	0.25
5121051.00	0.00
5121102.00	0.25
5121121.00	0.00
5121173.00	0.25
5121177.00	0.00
5121235.00	0.25
5121253.00	0.00
5121305.00	0.25
5121309.00	0.00
5121367.00	0.25
5121385.00	0.00
5121437.00	0.25
5121440.00	0.00
5121502.00	0.25
5121521.00	0.00
5121580.00	0.25
5121582.00	0.00
5121636.00	0.25
5121656.00	0.00
5121708.00	0.25
5121712.00	0.00
5121767.00	0.25
5121785.00	0.00
5121841.00	0.25
5121844.00	0.00
5121909.00	0.25
5121928.00	0.00
5121976.00	0.25
5121979.00	0.00
5122039.00	0.25
5122058.00	0.00
5122107.00	0.25
5122115.00	0.00
5122172.00	0.25
5122190.00	0.00
5122242.00	0.25
5122245.00	0.00
5122303.00	0.25
5122321.00	0.00
5122373.00	0.25
5122376.00	0.00
5122437.00	0.25
5122455.00	0.00
5122504.00	0.25
5122507.00	0.00
5122569.00	0.25
5122587.00	0.00
5122639.00	0.25
5122642.00	0.00
5122695.00	0.25
5122713.00	0.00
5122761.00	0.25
5122763.00	0.00
5122830.00	0.25
5122849.00	0.00
5122902.00	0.25
5122905.00	0.00
5122969.00	0.25
5122987.00	0.00
5123038.00	0.25
5123042.00	0.00
5123104.00	0.25
5123122.00	0.00
5123170.00	0.25
5123173.00	0.00
5123238.00	0.25
5123256.00	0.00
5123307.00	0.25
5123310.00	0.00
5123368.00	0.25
5123387.00	0.00
5123434.00	0.25
5123437.00	0.00
5123500.00	0.25
5123518.00	0.00
5123570.00	0.25
5123573.00	0.00
5123625.00	0.25
5123643.00	0.00
5123691.00	0.25
5123694.00	0.00
5123756.00	0.25
5123774.00	0.00
5123829.00	0.25
5123832.00	0.00
5123893.00	0.25
5123911.00	0.00
5123962.00	0.25
5123965.00	0.00
5124028.00	0.25
5124046.00	0.00
5124097.00	0.25
5124100.00	0.00
5124161.00	0.25
5124179.00	0.00
5124226.00	0.25
5124233.00	0.00
5124292.00	0.25
5124311.00	0.00
5124360.00	0.25
5124363.00	0.00
5124419.00	0.25
5124436.00	0.00
5124485.00	0.25
5124488.00	0.00
5124551.00	0.25
5124569.00	0.00
5124622.00	0.25
5124625.00	0.00
5124686.00	0.25
5124703.00	0.00
5124752.00	0.25
5124755.00	0.00
5124819.00	0.25
5124841.00	0.00
5124891.00	0.25
5124894.00	0.00
5124959.00	0.25
5124978.00	0.00
5125026.00	0.25
5125038.00	0.00
5125095.00	0.25
5125113.00	0.00
5125161.00	0.25
5125165.00	0.00
5125228.00	0.25
5125247.00	0.00
5125298.00	0.25
5125301.00	0.00
5125353.00	0.25
5125371.00	0.00
5125419.00	0.25
5125422.00	0.00
5125486.00	0.25
5125504.00	0.00
5125556.00	0.25
5125559.00	0.00
5125617.00	0.25
5125635.00	0.00
5125687.00	0.25
5125690.00	0.00
5125747.00	0.25
5125765.00	0.00
5125814.00	0.25
5125817.00	0.00
5125884.00	0.25
5125903.00	0.00
5125954.00	0.25
5125957.00	0.00
5126019.00	0.25
5126037.00	0.00
5126085.00	0.25
5126088.00	0.00
5126146.00	0.25
5126164.00	0.00
5126216.00	0.25
5126219.00	0.00
5126279.00	0.25
5126297.00	0.00
5126345.00	0.25
5126351.00	0.00
5126413.00	0.25
5126431.00	0.00
5126494.00	0.25
5126497.00	0.00
5126543.00	0.25
5126562.00	0.00
5126614.00	0.25
5126616.00	0.00
5126675.00	0.25
5126693.00	0.00
5126742.00	0.25
5126745.00	0.00
5126810.00	0.25
5126833.00	0.00
5126886.00	0.25
5126888.00	0.00
5126952.00	0.25
5126970.00	0.00
5127022.00	0.25
5127025.00	0.00
5127079.00	0.25
5127097.00	0.00
5127145.00	0.25
5127148.00	0.00
5127212.00	0.25
5127230.00	0.00
5127282.00	0.25
5127285.00	0.00
5127346.00	0.25
5127364.00	0.00
5127413.00	0.25
5127416.00	0.00
5127478.00	0.25
5127496.00	0.00
5127548.00	0.25
5127550.00	0.00
5127610.00	0.25
5127628.00	0.00
5127680.00	0.25
5127683.00	0.00
5127737.00	0.25
5127755.00	0.00
5127802.00	0.25
5127805.00	0.00
5127876.00	0.25
5127895.00	0.00
5127947.00	0.25
5127949.00	0.00
5128011.00	0.25
5128030.00	0.00
5128081.00	0.25
5128084.00	0.00
5128145.00	0.25
5128163.00	0.00
5128215.00	0.25
5128218.00	0.00
5128277.00	0.25
5128296.00	0.00
5128347.00	0.25
5128350.00	0.00
5128409.00	0.25
5128427.00	0.00
5128474.00	0.25
5128481.00	0.00
5128541.00	0.25
5128560.00	0.00
5128611.00	0.25
5128614.00	0.00
5128668.00	0.25
5128686.00	0.00
5128737.00	0.25
5128740.00	0.00
5128800.00	0.25
5128818.00	0.00
5128874.00	0.25
5128876.00	0.00
5128942.00	0.25
5128960.00	0.00
5129012.00	0.25
5129015.00	0.00
5129075.00	0.25
5129093.00	0.00
5129145.00	0.25
5129148.00	0.00
5129207.00	0.25
5129225.00	0.00
5129276.00	0.25
5129278.00	0.00
5129340.00	0.25
5129357.00	0.00
5129409.00	0.25
5129412.00	0.00
5129476.00	0.25
5129494.00	0.00
5129542.00	0.25
5129545.00	0.00
5129602.00	0.25
5129620.00	0.00
5129671.00	0.25
5129675.00	0.00
5129734.00	0.25
5129752.00	0.00
5129803.00	0.25
5129806.00	0.00
5129872.00	0.25
5129890.00	0.00
5129941.00	0.25
5129944.00	0.00
5130008.00	0.25
5130026.00	0.00
5130074.00	0.25
5130076.00	0.00
5130140.00	0.25
5130158.00	0.00
5130210.00	0.25
5130214.00	0.00
5130273.00	0.25
5130291.00	0.00
5130343.00	0.25
5130345.00	0.00
5130400.00	0.25
5130418.00	0.00
5130465.00	0.25
5130469.00	0.00
5130533.00	0.25
5130551.00	0.00
5130602.00	0.25
5130605.00	0.00
5130664.00	0.25
5130682.00	0.00
5130729.00	0.25
5130732.00	0.00
5130796.00	0.25
5130814.00	0.00
5130870.00	0.25
5130873.00	0.00
5130934.00	0.25
5130952.00	0.00
5131000.00	0.25
5131003.00	0.00
5131069.00	0.25
5131088.00	0.00
5131137.00	0.25
5131143.00	0.00
5131196.00	0.25
5131214.00	0.00
5131266.00	0.25
5131269.00	0.00
5131327.00	0.25
5131345.00	0.00
5131396.00	0.25
5131399.00	0.00
5131460.00	0.25
5131478.00	0.00
5131529.00	0.25
5131532.00	0.00
5131590.00	0.25
5131608.00	0.00
5131680.00	0.25
5131683.00	0.00
5131735.00	0.25
5131754.00	0.00
5131806.00	0.25
5131809.00	0.00
5131887.00	0.25
5131906.00	0.00
5131956.00	0.25
5131959.00	0.00
5132022.00	0.25
5132041.00	0.00
5132093.00	0.25
5132096.00	0.00
5132156.00	0.25
5132175.00	0.00
5132224.00	0.25
5132227.00	0.00
5132291.00	0.25
5132309.00	0.00
5132362.00	0.25
5132365.00	0.00
5132425.00	0.25
5132443.00	0.00
5132499.00	0.25
5132502.00	0.00
5132558.00	0.25
5132577.00	0.00
5132629.00	0.25
5132632.00	0.00
5132693.00	0.25
5132711.00	0.00
5132760.00	0.25
5132763.00	0.00
5132830.00	0.25
5132849.00	0.00
5132901.00	0.25
5132904.00	0.00
5132973.00	0.25
5132992.00	0.00
5133043.00	0.25
5133046.00	0.00
5133106.00	0.25
5133124.00	0.00
5133175.00	0.25
5133178.00	0.00
5133237.00	0.25
5133255.00	0.00
5133303.00	0.25
5133306.00	0.00
5133368.00	0.25
5133386.00	0.00
5133438.00	0.25
5133441.00	0.00
5133499.00	0.25
5133517.00	0.00
5133565.00	0.25
5133572.00	0.00
5133632.00	0.25
5133650.00	0.00
5133699.00	0.25
5133703.00	0.00
5133759.00	0.25
5133778.00	0.00
5133829.00	0.25
5133832.00	0.00
5133899.00	0.25
5133917.00	0.00
5133969.00	0.25
5133972.00	0.00
5134035.00	0.25
