time	count
0.00	0.00
5041442.00	1.00
5041656.00	0.00
5041904.00	1.00
5042585.00	0.00
5042683.00	1.00
5043611.00	0.00
5064188.00	1.00
5064583.00	0.00
5064689.00	1.00
5064763.00	0.00
5064820.00	1.00
5065110.00	0.00
5065216.00	1.00
5066325.00	0.00
5066401.00	1.00
5066511.00	0.00
5066578.00	1.00
5066666.00	0.00
5066731.00	1.00
5066805.00	0.00
5066878.00	1.00
5066962.00	0.00
5067032.00	1.00
5067300.00	0.00
5067370.00	1.00
5438484.00	0.00
5438568.00	1.00
5808600.00	0.00
5808670.00	1.00
6180988.00	0.00
6181084.00	1.00
6555384.00	0.00
6555454.00	1.00
6555548.00	0.00
6555610.00	1.00
6555724.00	0.00
6555789.00	1.00
6556425.00	0.00
6556501.00	1.00
6556612.00	0.00
6556674.00	1.00
6556695.00	0.00
6556756.00	1.00
6556767.00	0.00
6556818.00	1.00
6556835.00	0.00
6556886.00	1.00
6556898.00	0.00
6556948.00	1.00
6556959.00	0.00
6557048.00	1.00
6557063.00	0.00
6557117.00	1.00
6557129.00	0.00
6557179.00	1.00
6557190.00	0.00
6557239.00	1.00
6557251.00	0.00
6557300.00	1.00
6557311.00	0.00
6557359.00	1.00
6557371.00	0.00
6557419.00	1.00
6557431.00	0.00
6557478.00	1.00
6557490.00	0.00
6557547.00	1.00
6557559.00	0.00
6557609.00	1.00
6557624.00	0.00
6557674.00	1.00
6557988.00	0.00
6558062.00	1.00
6558121.00	0.00
6558181.00	1.00
6558282.00	0.00
6558347.00	1.00
6558759.00	0.00
6558822.00	1.00
6558846.00	0.00
6558914.00	1.00
6558928.00	0.00
6558980.00	1.00
6558992.00	0.00
6559042.00	1.00
6559054.00	0.00
6559103.00	1.00
6559114.00	0.00
6559172.00	1.00
6559183.00	0.00
6559231.00	1.00
6559242.00	0.00
6559291.00	1.00
6559302.00	0.00
6559350.00	1.00
6559362.00	0.00
6559420.00	1.00
6559431.00	0.00
6559479.00	1.00
6559491.00	0.00
6559539.00	1.00
6559550.00	0.00
6559598.00	1.00
6559609.00	0.00
6559658.00	1.00
6559670.00	0.00
6559719.00	1.00
6559731.00	0.00
6559782.00	1.00
6559797.00	0.00
6559853.00	1.00
6560114.00	0.00
6560187.00	1.00
6560246.00	0.00
6560304.00	1.00
6560402.00	0.00
6560466.00	1.00
6560877.00	0.00
6560949.00	1.00
6560966.00	0.00
6561019.00	1.00
6561032.00	0.00
6561082.00	1.00
6561094.00	0.00
6561144.00	1.00
6561156.00	0.00
6561206.00	1.00
6561218.00	0.00
6561268.00	1.00
6561279.00	0.00
6561329.00	1.00
6561340.00	0.00
6561390.00	1.00
6561402.00	0.00
6561450.00	1.00
6561462.00	0.00
6561509.00	1.00
6561521.00	0.00
6561569.00	1.00
6561580.00	0.00
6561635.00	1.00
6561646.00	0.00
6561695.00	1.00
6561706.00	0.00
6561754.00	1.00
6561765.00	0.00
6561814.00	1.00
6561830.00	0.00
6561893.00	1.00
6561911.00	0.00
6561960.00	1.00
6562137.00	0.00
6562211.00	1.00
6562619.00	0.00
6562688.00	1.00
6562704.00	0.00
6562789.00	1.00
6562804.00	0.00
6562863.00	1.00
6562876.00	0.00
6562926.00	1.00
6562938.00	0.00
6562987.00	1.00
6562998.00	0.00
6563047.00	1.00
6563058.00	0.00
6563106.00	1.00
6563118.00	0.00
6563166.00	1.00
6563177.00	0.00
6563225.00	1.00
6563237.00	0.00
6563285.00	1.00
6563296.00	0.00
6563343.00	1.00
6563355.00	0.00
6563403.00	1.00
6563414.00	0.00
6563462.00	1.00
6563473.00	0.00
6563521.00	1.00
6563532.00	0.00
6563588.00	1.00
6563599.00	0.00
6563649.00	1.00
6563665.00	0.00
6563716.00	1.00
6564133.00	0.00
6564197.00	1.00
6564213.00	0.00
6564268.00	1.00
6564280.00	0.00
6564330.00	1.00
6564343.00	0.00
6564401.00	1.00
6564413.00	0.00
6564469.00	1.00
6564481.00	0.00
6564531.00	1.00
6564542.00	0.00
6564590.00	1.00
6564602.00	0.00
6564650.00	1.00
6564662.00	0.00
6564710.00	1.00
6564721.00	0.00
6564768.00	1.00
6564780.00	0.00
6564832.00	1.00
6564845.00	0.00
6564894.00	1.00
6564905.00	0.00
6564954.00	1.00
6564965.00	0.00
6565013.00	1.00
6565025.00	0.00
6565079.00	1.00
6565090.00	0.00
6565141.00	1.00
6565157.00	0.00
6565207.00	1.00
6565612.00	0.00
6565683.00	1.00
6565699.00	0.00
6565753.00	1.00
6565765.00	0.00
6565829.00	1.00
6565841.00	0.00
6565900.00	1.00
6565912.00	0.00
6565963.00	1.00
6565975.00	0.00
6566031.00	1.00
6566043.00	0.00
6566101.00	1.00
6566113.00	0.00
6566163.00	1.00
6566175.00	0.00
6566223.00	1.00
6566235.00	0.00
6566283.00	1.00
6566295.00	0.00
6566343.00	1.00
6566354.00	0.00
6566403.00	1.00
6566414.00	0.00
6566463.00	1.00
6566474.00	0.00
6566522.00	1.00
6566534.00	0.00
6566583.00	1.00
6566595.00	0.00
6566645.00	1.00
6566662.00	0.00
6566712.00	1.00
6567123.00	0.00
6567185.00	1.00
6567201.00	0.00
6567258.00	1.00
6567270.00	0.00
6567323.00	1.00
6567335.00	0.00
6567383.00	1.00
6567395.00	0.00
6567444.00	1.00
6567455.00	0.00
6567504.00	1.00
6567515.00	0.00
6567564.00	1.00
6567575.00	0.00
6567623.00	1.00
6567635.00	0.00
6567683.00	1.00
6567694.00	0.00
6567742.00	1.00
6567753.00	0.00
6567801.00	1.00
6567812.00	0.00
6567867.00	1.00
6567878.00	0.00
6567930.00	1.00
6567941.00	0.00
6567990.00	1.00
6568001.00	0.00
6568049.00	1.00
6568060.00	0.00
6568110.00	1.00
6568126.00	0.00
6568178.00	1.00
6568586.00	0.00
6568656.00	1.00
6568672.00	0.00
6568725.00	1.00
6568737.00	0.00
6568787.00	1.00
6568799.00	0.00
6568857.00	1.00
6568869.00	0.00
6568920.00	1.00
6568932.00	0.00
6568981.00	1.00
6568993.00	0.00
6569041.00	1.00
6569053.00	0.00
6569101.00	1.00
6569112.00	0.00
6569162.00	1.00
6569173.00	0.00
6569221.00	1.00
6569232.00	0.00
6569280.00	1.00
6569292.00	0.00
6569340.00	1.00
6569352.00	0.00
6569401.00	1.00
6569413.00	0.00
6569462.00	1.00
6569473.00	0.00
6569521.00	1.00
6569532.00	0.00
6569582.00	1.00
6569598.00	0.00
6569648.00	1.00
6570054.00	0.00
6570118.00	1.00
6570133.00	0.00
6570186.00	1.00
6570198.00	0.00
6570248.00	1.00
6570259.00	0.00
6570308.00	1.00
6570319.00	0.00
6570368.00	1.00
6570379.00	0.00
6570427.00	1.00
6570439.00	0.00
6570487.00	1.00
6570498.00	0.00
6570547.00	1.00
6570558.00	0.00
6570606.00	1.00
6570617.00	0.00
6570671.00	1.00
6570682.00	0.00
6570730.00	1.00
6570741.00	0.00
6570788.00	1.00
6570800.00	0.00
6570853.00	1.00
6570864.00	0.00
6570926.00	1.00
6570937.00	0.00
6570986.00	1.00
6570997.00	0.00
6571047.00	1.00
6571064.00	0.00
6571114.00	1.00
6571521.00	0.00
6571583.00	1.00
6571598.00	0.00
6571683.00	1.00
6571698.00	0.00
6571761.00	1.00
6571773.00	0.00
6571828.00	1.00
6571841.00	0.00
6571891.00	1.00
6571903.00	0.00
6571952.00	1.00
6571963.00	0.00
6572012.00	1.00
6572023.00	0.00
6572071.00	1.00
6572083.00	0.00
6572131.00	1.00
6572142.00	0.00
6572190.00	1.00
6572201.00	0.00
6572254.00	1.00
6572265.00	0.00
6572313.00	1.00
6572325.00	0.00
6572373.00	1.00
6572384.00	0.00
6572433.00	1.00
6572444.00	0.00
6572493.00	1.00
6572504.00	0.00
6572554.00	1.00
6572571.00	0.00
6572621.00	1.00
6573033.00	0.00
6573095.00	1.00
6573110.00	0.00
6573171.00	1.00
6573183.00	0.00
6573241.00	1.00
6573253.00	0.00
6573302.00	1.00
6573314.00	0.00
6573363.00	1.00
6573374.00	0.00
6573422.00	1.00
6573433.00	0.00
6573481.00	1.00
6573492.00	0.00
6573540.00	1.00
6573551.00	0.00
6573606.00	1.00
6573617.00	0.00
6573665.00	1.00
6573677.00	0.00
6573725.00	1.00
6573736.00	0.00
6573784.00	1.00
6573795.00	0.00
6573851.00	1.00
6573863.00	0.00
6573913.00	1.00
6573925.00	0.00
6573973.00	1.00
6573984.00	0.00
6574034.00	1.00
6574050.00	0.00
6574100.00	1.00
6574501.00	0.00
6574564.00	1.00
6574580.00	0.00
6574641.00	1.00
6574654.00	0.00
6574712.00	1.00
6574725.00	0.00
6574777.00	1.00
6574789.00	0.00
6574851.00	1.00
6574864.00	0.00
6574921.00	1.00
6574933.00	0.00
6574982.00	1.00
6574994.00	0.00
6575043.00	1.00
6575055.00	0.00
6575103.00	1.00
6575115.00	0.00
6575164.00	1.00
6575175.00	0.00
6575223.00	1.00
6575235.00	0.00
6575283.00	1.00
6575295.00	0.00
6575343.00	1.00
6575355.00	0.00
6575403.00	1.00
6575413.00	0.00
6575462.00	1.00
6575473.00	0.00
6575523.00	1.00
6575540.00	0.00
6575590.00	1.00
6576000.00	0.00
6576065.00	1.00
6576081.00	0.00
6576132.00	1.00
6576144.00	0.00
6576193.00	1.00
6576204.00	0.00
