time	count
0.00	0.00
5053205.00	0.12
5053530.00	0.00
5055016.00	0.12
5055175.00	0.00
5055951.00	0.12
5056057.00	0.00
5057025.00	0.12
5057046.00	0.25
5057051.00	0.12
5058393.00	0.00
5058427.00	0.12
5058531.00	0.00
5058633.00	0.12
5058648.00	0.00
5058841.00	0.12
5058859.00	0.00
5059693.00	0.12
5059709.00	0.00
5059815.00	0.12
5059819.00	0.00
5060040.00	0.12
5060051.00	0.00
5060155.00	0.12
5060160.00	0.00
5060356.00	0.12
5060425.00	0.00
5060471.00	0.12
5060475.00	0.00
5060670.00	0.12
5060683.00	0.00
5061382.00	0.12
5061452.00	0.25
5061464.00	0.12
5061868.00	0.25
5061902.00	0.12
5061928.00	0.25
5061933.00	0.12
5061969.00	0.00
5061980.00	0.12
5062008.00	0.00
5062063.00	0.12
5062066.00	0.00
5062099.00	0.12
5062165.00	0.00
5062292.00	0.12
5062301.00	0.00
5062566.00	0.12
5062604.00	0.25
5062608.00	0.12
5062651.00	0.00
5062741.00	0.12
5062748.00	0.00
5062867.00	0.12
5062914.00	0.25
5062917.00	0.12
5062925.00	0.00
5062982.00	0.12
5062988.00	0.00
5063219.00	0.12
5063222.00	0.00
5063929.00	0.12
5063963.00	0.00
5064086.00	0.12
5064097.00	0.00
5064227.00	0.12
5064253.00	0.00
5064340.00	0.12
5064344.00	0.00
5064694.00	0.12
5064729.00	0.25
5064801.00	0.12
5064846.00	0.25
5064855.00	0.12
5064950.00	0.00
5065028.00	0.12
5065038.00	0.00
5065085.00	0.12
5065121.00	0.00
5065212.00	0.12
5065216.00	0.00
5065363.00	0.12
5065374.00	0.00
5065651.00	0.12
5065707.00	0.25
5065710.00	0.12
5065744.00	0.00
5065796.00	0.12
5065801.00	0.00
5065841.00	0.12
5065849.00	0.00
5066012.00	0.12
5066021.00	0.00
5066121.00	0.12
5066137.00	0.00
5066275.00	0.12
5066278.00	0.00
5066574.00	0.12
5066615.00	0.25
5066618.00	0.12
5066647.00	0.00
5066701.00	0.12
5066706.00	0.00
5066755.00	0.12
5066759.00	0.00
5066930.00	0.12
5066934.00	0.00
5067041.00	0.12
5067065.00	0.00
5067194.00	0.12
5067204.00	0.00
5067418.00	0.12
5067466.00	0.25
5067469.00	0.12
5067514.00	0.00
5067570.00	0.12
5067575.00	0.00
5067633.00	0.12
5067636.00	0.00
5067923.00	0.12
5067927.00	0.25
5067932.00	0.12
5068153.00	0.00
5068212.00	0.12
5068236.00	0.00
5068656.00	0.12
5068715.00	0.00
5068838.00	0.12
5068850.00	0.00
