time	count
0.00	0.00
5054533.00	1.00
5054817.00	0.00
5055083.00	1.00
5055856.00	0.00
5055963.00	1.00
5056980.00	0.00
5057897.00	1.00
5058353.00	0.00
5058475.00	1.00
5058561.00	0.00
5058637.00	1.00
5058770.00	0.00
5058846.00	1.00
5059606.00	0.00
5059692.00	1.00
5059755.00	0.00
5059831.00	1.00
5059943.00	0.00
5060037.00	1.00
5060104.00	0.00
5060173.00	1.00
5060279.00	0.00
5060356.00	1.00
5060419.00	0.00
5060488.00	1.00
5060595.00	0.00
5060670.00	1.00
5061359.00	0.00
5061462.00	1.00
5061860.00	0.00
5061944.00	1.00
5062012.00	0.00
5062115.00	1.00
5062232.00	0.00
5062307.00	1.00
5062553.00	0.00
5062627.00	1.00
5062861.00	0.00
5062935.00	1.00
5063167.00	0.00
5063242.00	1.00
5063833.00	0.00
5063935.00	1.00
5064010.00	0.00
5064090.00	1.00
5064138.00	0.00
5064217.00	1.00
5064260.00	0.00
5064384.00	1.00
5064667.00	0.00
5064737.00	1.00
5064795.00	0.00
5064863.00	1.00
5064961.00	0.00
5065103.00	1.00
5065158.00	0.00
5065232.00	1.00
5065297.00	0.00
5065377.00	1.00
5065654.00	0.00
5065733.00	1.00
5065793.00	0.00
5065858.00	1.00
5065952.00	0.00
5066026.00	1.00
5066071.00	0.00
5066157.00	1.00
5066214.00	0.00
5066296.00	1.00
5066564.00	0.00
5066642.00	1.00
5066701.00	0.00
5066774.00	1.00
5066869.00	0.00
5066945.00	1.00
5066992.00	0.00
5067059.00	1.00
5067113.00	0.00
5067201.00	1.00
5067405.00	0.00
5067528.00	1.00
5067580.00	0.00
5067651.00	1.00
5067845.00	0.00
5068164.00	1.00
5068545.00	0.00
5068661.00	1.00
5068783.00	0.00
