time	count
0.00	0.00
5168076.00	0.14
5168423.00	0.00
5170673.00	0.14
5170965.00	0.00
5171628.00	0.14
5171693.00	0.00
5173299.00	0.14
5173410.00	0.29
5173529.00	0.14
5174451.00	0.29
5174471.00	0.14
5174483.00	0.00
5174612.00	0.14
5174621.00	0.00
5174806.00	0.14
5174809.00	0.00
5175677.00	0.14
5175693.00	0.00
5175791.00	0.14
5175794.00	0.00
5176027.00	0.14
5176095.00	0.29
5176107.00	0.14
5176166.00	0.00
5176256.00	0.14
5176260.00	0.00
5176388.00	0.14
5176391.00	0.00
5176574.00	0.14
5176632.00	0.00
5177353.00	0.14
5177366.00	0.29
5177370.00	0.14
5177667.00	0.29
5177732.00	0.43
5177736.00	0.14
5177781.00	0.00
5177825.00	0.14
5177855.00	0.00
5177859.00	0.14
5177872.00	0.29
5177873.00	0.14
5177876.00	0.00
5178046.00	0.14
5178050.00	0.00
5178264.00	0.14
5178316.00	0.29
5178324.00	0.14
5178348.00	0.00
5178439.00	0.14
5178509.00	0.00
5178573.00	0.14
5178614.00	0.29
5178618.00	0.14
5178633.00	0.00
5178698.00	0.14
5178702.00	0.00
5178939.00	0.14
5178947.00	0.00
5179673.00	0.14
5179676.00	0.00
5179828.00	0.14
5179832.00	0.00
5179959.00	0.14
5179962.00	0.00
5180088.00	0.14
5180092.00	0.00
5180381.00	0.14
5180426.00	0.29
5180436.00	0.14
5180480.00	0.00
5180529.00	0.14
5180534.00	0.00
5180569.00	0.14
5180580.00	0.00
5180738.00	0.14
5180747.00	0.00
5180845.00	0.14
5180848.00	0.00
5181003.00	0.14
5181007.00	0.00
5181303.00	0.14
5181333.00	0.29
5181344.00	0.14
5181478.00	0.29
5181494.00	0.14
5181591.00	0.00
5181626.00	0.14
5181629.00	0.00
5181722.00	0.14
5181726.00	0.00
5181924.00	0.14
5181927.00	0.00
5182046.00	0.14
5182049.00	0.00
5182237.00	0.14
5182248.00	0.00
5182347.00	0.14
5182371.00	0.00
5182419.00	0.14
5182506.00	0.00
5182566.00	0.14
5182593.00	0.00
5182636.00	0.14
5182650.00	0.00
5182827.00	0.14
5182831.00	0.00
5182940.00	0.14
5182947.00	0.00
5183003.00	0.14
5183090.00	0.00
5183097.00	0.14
5183106.00	0.00
5183143.00	0.14
5183151.00	0.00
5183215.00	0.14
5183222.00	0.00
5183520.00	0.14
5183525.00	0.29
5183531.00	0.14
5183779.00	0.00
5183839.00	0.14
5183865.00	0.00
5184261.00	0.14
5184273.00	0.00
5184469.00	0.14
5184474.00	0.00
