time	count
0.00	0.00
5170189.00	1.00
5170505.00	0.00
5170746.00	1.00
5171531.00	0.00
5171639.00	1.00
5173300.00	0.00
5173960.00	1.00
5174375.00	0.00
5174464.00	1.00
5174553.00	0.00
5174627.00	1.00
5174749.00	0.00
5174828.00	1.00
5175586.00	0.00
5175669.00	1.00
5175740.00	0.00
5175811.00	1.00
5175913.00	0.00
5175989.00	1.00
5176045.00	0.00
5176110.00	1.00
5176202.00	0.00
5176278.00	1.00
5176339.00	0.00
5176407.00	1.00
5176501.00	0.00
5176573.00	1.00
5177288.00	0.00
5177388.00	1.00
5177661.00	0.00
5177747.00	1.00
5177828.00	0.00
5177893.00	1.00
5177989.00	0.00
5178064.00	1.00
5178258.00	0.00
5178335.00	1.00
5178564.00	0.00
5178638.00	1.00
5178877.00	0.00
5178951.00	1.00
5179575.00	0.00
5179687.00	1.00
5179765.00	0.00
5179841.00	1.00
5179898.00	0.00
5179977.00	1.00
5180029.00	0.00
5180103.00	1.00
5180376.00	0.00
5180459.00	1.00
5180519.00	0.00
5180577.00	1.00
5180674.00	0.00
5180751.00	1.00
5180800.00	0.00
5180866.00	1.00
5180941.00	0.00
5181020.00	1.00
5181268.00	0.00
5181346.00	1.00
5181407.00	0.00
5181472.00	1.00
5181573.00	0.00
5181645.00	1.00
5181862.00	0.00
5181943.00	1.00
5182000.00	0.00
5182067.00	1.00
5182159.00	0.00
5182239.00	1.00
5182293.00	0.00
5182368.00	1.00
5182468.00	0.00
5182555.00	1.00
5182766.00	0.00
5182847.00	1.00
5182894.00	0.00
5182961.00	1.00
5183037.00	0.00
5183113.00	1.00
5183163.00	0.00
5183228.00	1.00
5183441.00	0.00
5183791.00	1.00
5184184.00	0.00
5184284.00	1.00
5184418.00	0.00
