time	count
0.00	0.00
5049385.00	1.00
5049601.00	0.00
5049842.00	1.00
5050520.00	0.00
5050611.00	1.00
5051522.00	0.00
5052569.00	1.00
5052996.00	0.00
5053088.00	1.00
5053166.00	0.00
5053236.00	1.00
5053359.00	0.00
5053424.00	1.00
5053669.00	0.00
5053743.00	1.00
5054406.00	0.00
5054479.00	1.00
5054535.00	0.00
5054589.00	1.00
5054781.00	0.00
5054850.00	1.00
5055114.00	0.00
5055205.00	1.00
5055372.00	0.00
5055440.00	1.00
5056102.00	0.00
5056194.00	1.00
5056250.00	0.00
5056309.00	1.00
5056525.00	0.00
5056782.00	1.00
5056933.00	0.00
5057002.00	1.00
5057059.00	0.00
5057128.00	1.00
5057222.00	0.00
5057301.00	1.00
5057543.00	0.00
5057641.00	1.00
5057693.00	0.00
5057752.00	1.00
5057955.00	0.00
5058039.00	1.00
5058413.00	0.00
5058501.00	1.00
5058623.00	0.00
