level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	5051600	5052856	#ff0071	1.0	main <1>						2
2	5052856	5056323	#ff0071	0.15	main <1> (waiting)						2
2	5056323	5056585	#ff0071	0.45	main <1> (ready)						2
2	5056585	5056785	#ff0071	1.0	main <1>						2
2	5056785	5057763	#ff0071	0.15	main <1> (waiting)						2
2	5057763	5057834	#ff0071	0.45	main <1> (ready)						2
2	5057834	5057974	#ff0071	1.0	main <1>						2
1	5053454	5053498	#FFC0CB	1.0	ProfTask						56
1	5053743	5053759	#FFC0CB	1.0	ProfTask <4>						58
1	5054835	5054848	#FFC0CB	1.0	ProfTask						60
1	5054958	5054987	#FFC0CB	1.0	ProfTask <3>						62
2	5058487	5058497	#FFC0CB	1.0	ProfTask <1>						64
