time	count
0.00	0.00
5047966.00	0.25
5048320.00	0.00
5049754.00	0.25
5049917.00	0.00
5050586.00	0.25
5050592.00	0.00
5051573.00	0.25
5051581.00	0.00
5051600.00	0.25
5052856.00	0.00
5053087.00	0.25
5053160.00	0.00
5053234.00	0.25
5053248.00	0.00
5053454.00	0.25
5053498.00	0.00
5053743.00	0.25
5053759.00	0.00
5054455.00	0.25
5054462.00	0.00
5054464.00	0.25
5054573.00	0.50
5054577.00	0.25
5054835.00	0.50
5054848.00	0.25
5054879.00	0.00
5054958.00	0.25
5054987.00	0.00
5055223.00	0.25
5055369.00	0.00
5055420.00	0.25
5055432.00	0.00
5055517.00	0.25
5055671.00	0.00
5055727.00	0.25
5055739.00	0.00
5056173.00	0.25
5056181.00	0.00
5056290.00	0.25
5056296.00	0.00
5056585.00	0.25
5056595.00	0.50
5056601.00	0.25
5056785.00	0.00
5056979.00	0.25
5056984.00	0.00
5057115.00	0.25
5057120.00	0.00
5057274.00	0.25
5057283.00	0.00
5057541.00	0.25
5057585.00	0.50
5057588.00	0.25
5057629.00	0.00
5057669.00	0.25
5057672.00	0.00
5057740.00	0.25
5057748.00	0.00
5057834.00	0.25
5057974.00	0.00
5058009.00	0.25
5058012.00	0.00
5058028.00	0.25
5058054.00	0.00
5058487.00	0.25
5058497.00	0.00
5058664.00	0.25
5058668.00	0.00
