time	count
0.00	0.00
5042166.00	1.00
5042443.00	0.00
5042666.00	1.00
5043389.00	0.00
5043493.00	1.00
5044417.00	0.00
5045358.00	1.00
5045766.00	0.00
5045844.00	1.00
5045925.00	0.00
5045993.00	1.00
5046111.00	0.00
5046185.00	1.00
5046904.00	0.00
5046987.00	1.00
5047050.00	0.00
5047116.00	1.00
5047226.00	0.00
5047296.00	1.00
5047353.00	0.00
5047411.00	1.00
5047503.00	0.00
5047571.00	1.00
5047625.00	0.00
5047681.00	1.00
5047774.00	0.00
5047840.00	1.00
5048487.00	0.00
5048558.00	1.00
5048875.00	0.00
5048940.00	1.00
5049025.00	0.00
5049112.00	1.00
5049217.00	0.00
5049284.00	1.00
5049516.00	0.00
5049582.00	1.00
5049762.00	0.00
5049827.00	1.00
5050048.00	0.00
5050119.00	1.00
5050700.00	0.00
5050792.00	1.00
5050860.00	0.00
5050930.00	1.00
5050974.00	0.00
5051042.00	1.00
5051084.00	0.00
5051159.00	1.00
5051442.00	0.00
5051509.00	1.00
5051567.00	0.00
5051612.00	1.00
5051716.00	0.00
5051780.00	1.00
5051827.00	0.00
5051883.00	1.00
5051938.00	0.00
5052008.00	1.00
5052257.00	0.00
5052322.00	1.00
5052378.00	0.00
5052437.00	1.00
5052531.00	0.00
5052598.00	1.00
5052643.00	0.00
5052699.00	1.00
5052753.00	0.00
5052822.00	1.00
5053058.00	0.00
5053123.00	1.00
5053187.00	0.00
5053244.00	1.00
5053337.00	0.00
5053403.00	1.00
5053450.00	0.00
5053516.00	1.00
5053571.00	0.00
5053640.00	1.00
5053828.00	0.00
5053916.00	1.00
5053965.00	0.00
5054024.00	1.00
5054225.00	0.00
5054556.00	1.00
5054934.00	0.00
5055029.00	1.00
5055145.00	0.00
