level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	5044489	5045830	#ffec00	1.0	main <1>						27
2	5045830	5054038	#ffec00	0.15	main <1> (waiting)						27
2	5054038	5054305	#ffec00	0.45	main <1> (ready)						27
2	5054305	5054547	#ffec00	1.0	main <1>						27
1	5047116	5047133	#FFC0CB	1.0	ProfTask <4>						121
1	5047282	5047286	#FFC0CB	1.0	ProfTask						123
1	5047840	5047854	#FFC0CB	1.0	ProfTask						125
1	5048512	5048914	#0042ff	1.0	hits <3>						3
1	5049069	5049078	#FFC0CB	1.0	ProfTask <4>						127
1	5049523	5049599	#0042ff	1.0	hits <5>						24
1	5049771	5049827	#0042ff	1.0	hits <6>						26
1	5050777	5050786	#FFC0CB	1.0	ProfTask <3>						129
1	5050918	5050922	#FFC0CB	1.0	ProfTask <4>						131
1	5051029	5051037	#FFC0CB	1.0	ProfTask <5>						133
1	5051616	5051644	#FFC0CB	1.0	ProfTask <8>						135
1	5052439	5052455	#FFC0CB	1.0	ProfTask <9>						137
1	5052583	5052587	#FFC0CB	1.0	ProfTask						139
1	5053201	5053216	#FFC0CB	1.0	ProfTask <9>						141
1	5053399	5053410	#FFC0CB	1.0	ProfTask						143
1	5053959	5053966	#FFC0CB	1.0	ProfTask <10>						145
2	5055015	5055026	#FFC0CB	1.0	ProfTask <1>						147
