time	count
0.00	0.00
5040590.00	0.25
5040941.00	0.00
5042636.00	0.25
5042839.00	0.00
5043471.00	0.25
5043553.00	0.00
5044473.00	0.25
5044477.00	0.00
5044489.00	0.25
5045830.00	0.00
5045831.00	0.25
5045928.00	0.00
5045992.00	0.25
5046023.00	0.00
5046195.00	0.25
5046229.00	0.00
5046979.00	0.25
5046985.00	0.00
5047116.00	0.25
5047133.00	0.00
5047282.00	0.25
5047286.00	0.00
5047395.00	0.25
5047399.00	0.00
5047549.00	0.25
5047552.00	0.00
5047668.00	0.25
5047679.00	0.00
5047840.00	0.25
5047854.00	0.00
5048512.00	0.25
5048533.00	0.50
5048537.00	0.25
5048883.00	0.50
5048914.00	0.25
5048924.00	0.50
5048933.00	0.25
5048981.00	0.00
5048985.00	0.25
5049014.00	0.00
5049069.00	0.25
5049078.00	0.00
5049099.00	0.25
5049106.00	0.00
5049263.00	0.25
5049267.00	0.00
5049523.00	0.25
5049559.00	0.50
5049563.00	0.25
5049599.00	0.00
5049648.00	0.25
5049660.00	0.00
5049771.00	0.25
5049804.00	0.50
5049808.00	0.25
5049827.00	0.00
5049869.00	0.25
5049873.00	0.00
5050094.00	0.25
5050097.00	0.00
5050777.00	0.25
5050786.00	0.00
5050918.00	0.25
5050922.00	0.00
5051029.00	0.25
5051037.00	0.00
5051132.00	0.25
5051135.00	0.00
5051444.00	0.25
5051485.00	0.50
5051488.00	0.25
5051550.00	0.00
5051591.00	0.25
5051596.00	0.00
5051616.00	0.25
5051644.00	0.00
5051767.00	0.25
5051776.00	0.00
5051866.00	0.25
5051890.00	0.00
5051989.00	0.25
5051993.00	0.00
5052260.00	0.25
5052297.00	0.50
5052301.00	0.25
5052338.00	0.00
5052383.00	0.25
5052386.00	0.00
5052439.00	0.25
5052455.00	0.00
5052583.00	0.25
5052587.00	0.00
5052686.00	0.25
5052694.00	0.00
5052803.00	0.25
5052807.00	0.00
5053060.00	0.25
5053098.00	0.50
5053106.00	0.25
5053134.00	0.00
5053201.00	0.25
5053216.00	0.00
5053232.00	0.25
5053241.00	0.00
5053399.00	0.25
5053410.00	0.00
5053491.00	0.25
5053495.00	0.00
5053620.00	0.25
5053624.00	0.00
5053830.00	0.25
5053871.00	0.50
5053875.00	0.25
5053906.00	0.00
5053959.00	0.25
5053966.00	0.00
5054013.00	0.25
5054021.00	0.00
5054305.00	0.50
5054310.00	0.25
5054547.00	0.00
5054600.00	0.25
5054628.00	0.00
5055015.00	0.25
5055026.00	0.00
5055198.00	0.25
5055202.00	0.00
